,0,1,2
0,Series_reference,Period,Data_value
1,ECTM.S1AG1210,2007.01,887.3
2,ECTM.S1AG1210,2007.02,843.9
3,ECTM.S1AG1210,2007.03,925.1
4,ECTM.S1AG1210,2007.04,880
5,ECTM.S1AG1210,2007.05,905.1
6,ECTM.S1AG1210,2007.06,874.3
7,ECTM.S1AG1210,2007.07,890.5
8,ECTM.S1AG1210,2007.08,917.7
9,ECTM.S1AG1210,2007.09,895.9
10,ECTM.S1AG1210,2007.1,945.9
11,ECTM.S1AG1210,2007.11,960.8
12,ECTM.S1AG1210,2007.12,1102.2
13,ECTM.S1AG1210,2008.01,959.2
14,ECTM.S1AG1210,2008.02,924.5
15,ECTM.S1AG1210,2008.03,988
16,ECTM.S1AG1210,2008.04,922.8
17,ECTM.S1AG1210,2008.05,960.5
18,ECTM.S1AG1210,2008.06,904
19,ECTM.S1AG1210,2008.07,942.7
20,ECTM.S1AG1210,2008.08,981
21,ECTM.S1AG1210,2008.09,958.3
22,ECTM.S1AG1210,2008.1,1032.2
23,ECTM.S1AG1210,2008.11,1039.9
24,ECTM.S1AG1210,2008.12,1180.5
25,ECTM.S1AG1210,2009.01,1046.5
26,ECTM.S1AG1210,2009.02,962
27,ECTM.S1AG1210,2009.03,1041.7
28,ECTM.S1AG1210,2009.04,1024.6
29,ECTM.S1AG1210,2009.05,1046.4
30,ECTM.S1AG1210,2009.06,996.9
31,ECTM.S1AG1210,2009.07,1039
32,ECTM.S1AG1210,2009.08,1053.1
33,ECTM.S1AG1210,2009.09,1026.5
34,ECTM.S1AG1210,2009.1,1090.1
35,ECTM.S1AG1210,2009.11,1071.2
36,ECTM.S1AG1210,2009.12,1255.4
37,ECTM.S1AG1210,2010.01,1077.9
38,ECTM.S1AG1210,2010.02,1005.3
39,ECTM.S1AG1210,2010.03,1106.4
40,ECTM.S1AG1210,2010.04,1045.1
41,ECTM.S1AG1210,2010.05,1072.7
42,ECTM.S1AG1210,2010.06,1029
43,ECTM.S1AG1210,2010.07,1086.9
44,ECTM.S1AG1210,2010.08,1087.5
45,ECTM.S1AG1210,2010.09,1091.1
46,ECTM.S1AG1210,2010.1,1178.5
47,ECTM.S1AG1210,2010.11,1164.4
48,ECTM.S1AG1210,2010.12,1361
49,ECTM.S1AG1210,2011.01,1166
50,ECTM.S1AG1210,2011.02,1095
51,ECTM.S1AG1210,2011.03,1196.5
52,ECTM.S1AG1210,2011.04,1171.6
53,ECTM.S1AG1210,2011.05,1168.1
54,ECTM.S1AG1210,2011.06,1142.2
55,ECTM.S1AG1210,2011.07,1185.5
56,ECTM.S1AG1210,2011.08,1186.5
57,ECTM.S1AG1210,2011.09,1184.1
58,ECTM.S1AG1210,2011.1,1247.4
59,ECTM.S1AG1210,2011.11,1224.5
60,ECTM.S1AG1210,2011.12,1439.9
61,ECTM.S1AG1210,2012.01,1221.4
62,ECTM.S1AG1210,2012.02,1189.6
63,ECTM.S1AG1210,2012.03,1271.5
64,ECTM.S1AG1210,2012.04,1213.1
65,ECTM.S1AG1210,2012.05,1222.3
66,ECTM.S1AG1210,2012.06,1191.3
67,ECTM.S1AG1210,2012.07,1216.7
68,ECTM.S1AG1210,2012.08,1252
69,ECTM.S1AG1210,2012.09,1221.3
70,ECTM.S1AG1210,2012.1,1270.5
71,ECTM.S1AG1210,2012.11,1280.8
72,ECTM.S1AG1210,2012.12,1480.2
73,ECTM.S1AG1210,2013.01,1287.5
74,ECTM.S1AG1210,2013.02,1199.6
75,ECTM.S1AG1210,2013.03,1304.1
76,ECTM.S1AG1210,2013.04,1217
77,ECTM.S1AG1210,2013.05,1257.4
78,ECTM.S1AG1210,2013.06,1210.3
79,ECTM.S1AG1210,2013.07,1239.9
80,ECTM.S1AG1210,2013.08,1281.5
81,ECTM.S1AG1210,2013.09,1236.8
82,ECTM.S1AG1210,2013.1,1320
83,ECTM.S1AG1210,2013.11,1334.7
84,ECTM.S1AG1210,2013.12,1516.7
85,ECTM.S1AG1210,2014.01,1317.3
86,ECTM.S1AG1210,2014.02,1224.5
87,ECTM.S1AG1210,2014.03,1336.7
88,ECTM.S1AG1210,2014.04,1284
89,ECTM.S1AG1210,2014.05,1333
90,ECTM.S1AG1210,2014.06,1255.3
91,ECTM.S1AG1210,2014.07,1312.5
92,ECTM.S1AG1210,2014.08,1340
93,ECTM.S1AG1210,2014.09,1287.2
94,ECTM.S1AG1210,2014.1,1383.8
95,ECTM.S1AG1210,2014.11,1384.4
96,ECTM.S1AG1210,2014.12,1591.8
97,ECTM.S1AG1210,2015.01,1420.8
98,ECTM.S1AG1210,2015.02,1297.3
99,ECTM.S1AG1210,2015.03,1411.2
100,ECTM.S1AG1210,2015.04,1354
101,ECTM.S1AG1210,2015.05,1387.5
102,ECTM.S1AG1210,2015.06,1323.4
103,ECTM.S1AG1210,2015.07,1380.8
104,ECTM.S1AG1210,2015.08,1405.1
105,ECTM.S1AG1210,2015.09,1366.7
106,ECTM.S1AG1210,2015.1,1481.7
107,ECTM.S1AG1210,2015.11,1449.2
108,ECTM.S1AG1210,2015.12,1685.4
109,ECTM.S1AG1210,2016.01,1461.3
110,ECTM.S1AG1210,2016.02,1419.3
111,ECTM.S1AG1210,2016.03,1504.4
112,ECTM.S1AG1210,2016.04,1424.7
113,ECTM.S1AG1210,2016.05,1446.7
114,ECTM.S1AG1210,2016.06,1400.9
115,ECTM.S1AG1210,2016.07,1454.1
116,ECTM.S1AG1210,2016.08,1449.3
117,ECTM.S1AG1210,2016.09,1438.1
118,ECTM.S1AG1210,2016.1,1538
119,ECTM.S1AG1210,2016.11,1538.7
120,ECTM.S1AG1210,2016.12,1780.7
121,ECTM.S1AG1210,2017.01,1555.3
122,ECTM.S1AG1210,2017.02,1465.3
123,ECTM.S1AG1210,2017.03,1592.7
124,ECTM.S1AG1210,2017.04,1555.1
125,ECTM.S1AG1210,2017.05,1554.4
126,ECTM.S1AG1210,2017.06,1504.9
127,ECTM.S1AG1210,2017.07,1546.3
128,ECTM.S1AG1210,2017.08,1571.4
129,ECTM.S1AG1210,2017.09,1544.8
130,ECTM.S1AG1210,2017.1,1627.2
131,ECTM.S1AG1210,2017.11,1638.3
132,ECTM.S1AG1210,2017.12,1885.1
133,ECTM.S1AG1210,2018.01,1634.8
134,ECTM.S1AG1210,2018.02,1524.8
135,ECTM.S1AG1210,2018.03,1719.3
136,ECTM.S1AG1210,2018.04,1543
137,ECTM.S1AG1210,2018.05,1615.9
138,ECTM.S1AG1210,2018.06,1558.6
139,ECTM.S1AG1210,2018.07,1599.5
140,ECTM.S1AG1210,2018.08,1632
141,ECTM.S1AG1210,2018.09,1614.6
142,ECTM.S1AG1210,2018.1,1698.5
143,ECTM.S1AG1210,2018.11,1696.3
144,ECTM.S1AG1210,2018.12,1947.6
145,ECTM.S1AG1210,2019.01,1713.2
146,ECTM.S1AG1210,2019.02,1601.7
147,ECTM.S1AG1210,2019.03,1756.4
148,ECTM.S1AG1210,2019.04,1662.6
149,ECTM.S1AG1210,2019.05,1690.3
150,ECTM.S1AG1210,2019.06,1620
151,ECTM.S1AG1210,2019.07,1650.7
152,ECTM.S1AG1210,2019.08,1705.3
153,ECTM.S1AG1210,2019.09,1661.6
154,ECTM.S1AG1210,2019.1,1759.3
155,ECTM.S1AG1210,2019.11,1781.2
156,ECTM.S1AG1210,2019.12,2018.1
157,ECTM.S1AG1210,2020.01,1779.1
158,ECTM.S1AG1210,2020.02,1759.1
159,ECTM.S1AG1210,2020.03,2205.9
160,ECTM.S1AG1210,2020.04,2073
161,ECTM.S1AG1210,2020.05,1952.7
162,ECTM.S1AG1210,2020.06,1784.8
163,ECTM.S1AG1210,2020.07,1832.7
164,ECTM.S1AG1210,2020.08,1933.8
165,ECTM.S1AG1210,2020.09,1811.1
166,ECTM.S1AG1210,2020.1,1898.2
167,ECTM.S1AG1210,2020.11,1872.4
168,ECTM.S1AG1210,2020.12,2152.3
169,ECTM.S1AG1210,2021.01,1874
170,ECTM.S1AG1210,2021.02,1733.3
171,ECTM.S1AG1210,2021.03,1896.5
172,ECTM.S1AG1210,2021.04,1795.4
173,ECTM.S1SG1210,2007.03,
174,ECTM.S1SG1210,2007.04,
175,ECTM.S1SG1210,2007.05,
176,ECTM.S1SG1210,2007.06,
177,ECTM.S1SG1210,2007.07,
178,ECTM.S1SG1210,2007.08,
179,ECTM.S1SG1210,2007.09,
180,ECTM.S1SG1210,2007.1,
181,ECTM.S1SG1210,2007.11,
182,ECTM.S1SG1210,2007.12,
183,ECTM.S1SG1210,2008.01,
184,ECTM.S1SG1210,2008.02,
185,ECTM.S1SG1210,2008.03,
186,ECTM.S1SG1210,2008.04,
187,ECTM.S1SG1210,2008.05,
188,ECTM.S1SG1210,2008.06,
189,ECTM.S1SG1210,2008.07,
190,ECTM.S1SG1210,2008.08,
191,ECTM.S1SG1210,2008.09,
192,ECTM.S1SG1210,2008.1,
193,ECTM.S1SG1210,2008.11,
194,ECTM.S1SG1210,2008.12,
195,ECTM.S1SG1210,2009.01,
196,ECTM.S1SG1210,2009.02,
197,ECTM.S1SG1210,2009.03,
198,ECTM.S1SG1210,2009.04,
199,ECTM.S1SG1210,2009.05,
200,ECTM.S1SG1210,2009.06,
201,ECTM.S1SG1210,2009.07,
202,ECTM.S1SG1210,2009.08,
203,ECTM.S1SG1210,2009.09,
204,ECTM.S1SG1210,2009.1,
205,ECTM.S1SG1210,2009.11,
206,ECTM.S1SG1210,2009.12,
207,ECTM.S1SG1210,2010.01,
208,ECTM.S1SG1210,2010.02,
209,ECTM.S1SG1210,2010.03,
210,ECTM.S1SG1210,2010.04,
211,ECTM.S1SG1210,2010.05,
212,ECTM.S1SG1210,2010.06,
213,ECTM.S1SG1210,2010.07,
214,ECTM.S1SG1210,2010.08,
215,ECTM.S1SG1210,2010.09,
216,ECTM.S1SG1210,2010.1,
217,ECTM.S1SG1210,2010.11,
218,ECTM.S1SG1210,2010.12,
219,ECTM.S1SG1210,2011.01,
220,ECTM.S1SG1210,2011.02,
221,ECTM.S1SG1210,2011.03,
222,ECTM.S1SG1210,2011.04,
223,ECTM.S1SG1210,2011.05,
224,ECTM.S1SG1210,2011.06,
225,ECTM.S1SG1210,2011.07,
226,ECTM.S1SG1210,2011.08,
227,ECTM.S1SG1210,2011.09,
228,ECTM.S1SG1210,2011.1,
229,ECTM.S1SG1210,2011.11,
230,ECTM.S1SG1210,2011.12,
231,ECTM.S1SG1210,2012.01,
232,ECTM.S1SG1210,2012.02,
233,ECTM.S1SG1210,2012.03,
234,ECTM.S1SG1210,2012.04,
235,ECTM.S1SG1210,2012.05,
236,ECTM.S1SG1210,2012.06,
237,ECTM.S1SG1210,2012.07,
238,ECTM.S1SG1210,2012.08,
239,ECTM.S1SG1210,2012.09,
240,ECTM.S1SG1210,2012.1,
241,ECTM.S1SG1210,2012.11,
242,ECTM.S1SG1210,2012.12,
243,ECTM.S1SG1210,2013.01,
244,ECTM.S1SG1210,2013.02,
245,ECTM.S1SG1210,2013.03,
246,ECTM.S1SG1210,2013.04,
247,ECTM.S1SG1210,2013.05,
248,ECTM.S1SG1210,2013.06,
249,ECTM.S1SG1210,2013.07,
250,ECTM.S1SG1210,2013.08,
251,ECTM.S1SG1210,2013.09,
252,ECTM.S1SG1210,2013.1,
253,ECTM.S1SG1210,2013.11,
254,ECTM.S1SG1210,2013.12,
255,ECTM.S1SG1210,2014.01,
256,ECTM.S1SG1210,2014.02,
257,ECTM.S1SG1210,2014.03,
258,ECTM.S1SG1210,2014.04,
259,ECTM.S1SG1210,2014.05,
260,ECTM.S1SG1210,2014.06,
261,ECTM.S1SG1210,2014.07,
262,ECTM.S1SG1210,2014.08,
263,ECTM.S1SG1210,2014.09,
264,ECTM.S1SG1210,2014.1,
265,ECTM.S1SG1210,2014.11,
266,ECTM.S1SG1210,2014.12,
267,ECTM.S1SG1210,2015.01,
268,ECTM.S1SG1210,2015.02,
269,ECTM.S1SG1210,2015.03,
270,ECTM.S1SG1210,2015.04,
271,ECTM.S1SG1210,2015.05,
272,ECTM.S1SG1210,2015.06,
273,ECTM.S1SG1210,2015.07,
274,ECTM.S1SG1210,2015.08,
275,ECTM.S1SG1210,2015.09,
276,ECTM.S1SG1210,2015.1,
277,ECTM.S1SG1210,2015.11,
278,ECTM.S1SG1210,2015.12,
279,ECTM.S1SG1210,2016.01,
280,ECTM.S1SG1210,2016.02,
281,ECTM.S1SG1210,2016.03,
282,ECTM.S1SG1210,2016.04,
283,ECTM.S1SG1210,2016.05,
284,ECTM.S1SG1210,2016.06,
285,ECTM.S1SG1210,2016.07,
286,ECTM.S1SG1210,2016.08,
287,ECTM.S1SG1210,2016.09,
288,ECTM.S1SG1210,2016.1,
289,ECTM.S1SG1210,2016.11,
290,ECTM.S1SG1210,2016.12,
291,ECTM.S1SG1210,2017.01,
292,ECTM.S1SG1210,2017.02,
293,ECTM.S1SG1210,2017.03,
294,ECTM.S1SG1210,2017.04,
295,ECTM.S1SG1210,2017.05,
296,ECTM.S1SG1210,2017.06,
297,ECTM.S1SG1210,2017.07,
298,ECTM.S1SG1210,2017.08,
299,ECTM.S1SG1210,2017.09,
300,ECTM.S1SG1210,2017.1,
301,ECTM.S1SG1210,2017.11,
302,ECTM.S1SG1210,2017.12,
303,ECTM.S1SG1210,2018.01,
304,ECTM.S1SG1210,2018.02,
305,ECTM.S1SG1210,2018.03,
306,ECTM.S1SG1210,2018.04,
307,ECTM.S1SG1210,2018.05,
308,ECTM.S1SG1210,2018.06,
309,ECTM.S1SG1210,2018.07,
310,ECTM.S1SG1210,2018.08,
311,ECTM.S1SG1210,2018.09,
312,ECTM.S1SG1210,2018.1,
313,ECTM.S1SG1210,2018.11,
314,ECTM.S1SG1210,2018.12,
315,ECTM.S1SG1210,2019.01,
316,ECTM.S1SG1210,2019.02,
317,ECTM.S1SG1210,2019.03,
318,ECTM.S1SG1210,2019.04,
319,ECTM.S1SG1210,2019.05,
320,ECTM.S1SG1210,2019.06,
321,ECTM.S1SG1210,2019.07,
322,ECTM.S1SG1210,2019.08,
323,ECTM.S1SG1210,2019.09,
324,ECTM.S1SG1210,2019.1,
325,ECTM.S1SG1210,2019.11,
326,ECTM.S1SG1210,2019.12,
327,ECTM.S1SG1210,2020.01,
328,ECTM.S1SG1210,2020.02,
329,ECTM.S1SG1210,2020.03,
330,ECTM.S1SG1210,2020.04,
331,ECTM.S1SG1210,2020.05,
332,ECTM.S1SG1210,2020.06,
333,ECTM.S1SG1210,2020.07,
334,ECTM.S1SG1210,2020.08,
335,ECTM.S1SG1210,2020.09,
336,ECTM.S1SG1210,2020.1,
337,ECTM.S1SG1210,2020.11,
338,ECTM.S1SG1210,2020.12,
339,ECTM.S1SG1210,2021.01,
340,ECTM.S1SG1210,2021.02,
341,ECTM.S1SG1210,2021.03,
342,ECTM.S1SG1210,2021.04,
343,ECTM.S1AG1221,2007.01,91.3
344,ECTM.S1AG1221,2007.02,88.1
345,ECTM.S1AG1221,2007.03,96.9
346,ECTM.S1AG1221,2007.04,89.4
347,ECTM.S1AG1221,2007.05,94
348,ECTM.S1AG1221,2007.06,90.3
349,ECTM.S1AG1221,2007.07,92.2
350,ECTM.S1AG1221,2007.08,96.4
351,ECTM.S1AG1221,2007.09,95.2
352,ECTM.S1AG1221,2007.1,100.8
353,ECTM.S1AG1221,2007.11,105
354,ECTM.S1AG1221,2007.12,125.8
355,ECTM.S1AG1221,2008.01,99.6
356,ECTM.S1AG1221,2008.02,99.3
357,ECTM.S1AG1221,2008.03,103.5
358,ECTM.S1AG1221,2008.04,99.2
359,ECTM.S1AG1221,2008.05,105.1
360,ECTM.S1AG1221,2008.06,95.8
361,ECTM.S1AG1221,2008.07,101.9
362,ECTM.S1AG1221,2008.08,106.5
363,ECTM.S1AG1221,2008.09,107.9
364,ECTM.S1AG1221,2008.1,115.4
365,ECTM.S1AG1221,2008.11,117.9
366,ECTM.S1AG1221,2008.12,143.1
367,ECTM.S1AG1221,2009.01,115.9
368,ECTM.S1AG1221,2009.02,105.4
369,ECTM.S1AG1221,2009.03,116.3
370,ECTM.S1AG1221,2009.04,113.4
371,ECTM.S1AG1221,2009.05,115.3
372,ECTM.S1AG1221,2009.06,109.6
373,ECTM.S1AG1221,2009.07,118
374,ECTM.S1AG1221,2009.08,119
375,ECTM.S1AG1221,2009.09,118.3
376,ECTM.S1AG1221,2009.1,125.2
377,ECTM.S1AG1221,2009.11,121
378,ECTM.S1AG1221,2009.12,151.9
379,ECTM.S1AG1221,2010.01,119.6
380,ECTM.S1AG1221,2010.02,111.7
381,ECTM.S1AG1221,2010.03,123.5
382,ECTM.S1AG1221,2010.04,116.5
383,ECTM.S1AG1221,2010.05,116.6
384,ECTM.S1AG1221,2010.06,112.8
385,ECTM.S1AG1221,2010.07,122.3
386,ECTM.S1AG1221,2010.08,120
387,ECTM.S1AG1221,2010.09,120.8
388,ECTM.S1AG1221,2010.1,131
389,ECTM.S1AG1221,2010.11,131.8
390,ECTM.S1AG1221,2010.12,162.3
391,ECTM.S1AG1221,2011.01,124.8
392,ECTM.S1AG1221,2011.02,118.1
393,ECTM.S1AG1221,2011.03,130.6
394,ECTM.S1AG1221,2011.04,125.6
395,ECTM.S1AG1221,2011.05,126.1
396,ECTM.S1AG1221,2011.06,123.8
397,ECTM.S1AG1221,2011.07,130.1
398,ECTM.S1AG1221,2011.08,132.3
399,ECTM.S1AG1221,2011.09,133.1
400,ECTM.S1AG1221,2011.1,135.3
401,ECTM.S1AG1221,2011.11,136.3
402,ECTM.S1AG1221,2011.12,168.4
403,ECTM.S1AG1221,2012.01,130.6
404,ECTM.S1AG1221,2012.02,127.1
405,ECTM.S1AG1221,2012.03,138.1
406,ECTM.S1AG1221,2012.04,126.5
407,ECTM.S1AG1221,2012.05,135.1
408,ECTM.S1AG1221,2012.06,130.2
409,ECTM.S1AG1221,2012.07,132.5
410,ECTM.S1AG1221,2012.08,137.7
411,ECTM.S1AG1221,2012.09,133.7
412,ECTM.S1AG1221,2012.1,140
413,ECTM.S1AG1221,2012.11,145
414,ECTM.S1AG1221,2012.12,172.6
415,ECTM.S1AG1221,2013.01,138
416,ECTM.S1AG1221,2013.02,130.9
